epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.8403,1.28734,2.66021,1.5291,0.0045,0.96429,0.38769,0.22277,0.97458,3.05043,1.45613,4e-05,4e-05,4e-05
2,70.0687,1.27178,2.52637,1.48985,0.0045,0.96429,0.74781,0.49004,0.83184,3.03143,1.33295,9.901e-05,9.901e-05,9.901e-05
3,97.5319,0.96116,2.20822,1.41344,0.0045,0.96429,0.77165,0.58887,0.75748,2.96759,1.25508,0.000156832,0.000156832,0.000156832
4,121.187,1.04109,1.91432,1.37327,0.00896,0.96429,0.68067,0.46734,0.85445,2.87907,1.33395,0.000213466,0.000213466,0.000213466
5,144.36,1.19945,1.70771,1.44794,1,0.48029,0.83843,0.63874,0.82765,2.68912,1.26898,0.000268912,0.000268912,0.000268912
6,167.068,1.18234,1.53625,1.4365,1,0.26979,0.85984,0.64965,0.91085,2.65228,1.34133,0.00032317,0.00032317,0.00032317
7,190.93,1.06817,1.60474,1.40385,0.92795,0.46025,0.90893,0.61415,1.01037,2.55564,1.41822,0.00037624,0.00037624,0.00037624
8,213.766,1.00297,1.36946,1.29597,0.94362,0.59818,0.93624,0.65087,1.01582,2.41732,1.3869,0.000428122,0.000428122,0.000428122
9,236.64,0.98581,1.27804,1.30033,0.95622,0.78017,0.94133,0.70509,0.94657,2.13058,1.33228,0.000478816,0.000478816,0.000478816
10,260.214,0.88529,1.3808,1.26263,0.95643,0.78409,0.93563,0.69275,0.8793,2.05318,1.24997,0.000528322,0.000528322,0.000528322
11,285.418,0.90235,1.33978,1.26892,0.96372,0.94913,0.95722,0.68636,0.92303,2.1325,1.29237,0.00057664,0.00057664,0.00057664
12,315.901,1.05854,1.38977,1.39015,0.96823,0.92857,0.96365,0.72187,0.87139,2.09066,1.24588,0.00062377,0.00062377,0.00062377
13,339.236,0.94928,1.24823,1.21076,0.89655,0.85714,0.93438,0.69729,0.87436,2.03444,1.27163,0.000669712,0.000669712,0.000669712
14,366.114,1.01057,1.32825,1.34962,0.8347,0.82143,0.90603,0.66027,0.8931,1.97466,1.31112,0.000714466,0.000714466,0.000714466
15,393.235,0.94222,1.17293,1.2061,0.89032,0.78571,0.88521,0.63604,0.91846,2.06531,1.33177,0.000758032,0.000758032,0.000758032
16,420.49,0.82033,1.14922,1.23349,0.89231,0.75,0.86739,0.60625,0.92431,2.15551,1.32061,0.00080041,0.00080041,0.00080041
17,444.452,1.06821,1.28986,1.32758,0.93632,0.52558,0.74719,0.5312,1.13227,2.05201,1.61592,0.0008416,0.0008416,0.0008416
18,468.498,1.09927,1.3128,1.31022,0.62248,0.70686,0.77365,0.51705,1.10053,2.1868,1.6098,0.000881602,0.000881602,0.000881602
19,492.247,0.86676,1.19119,1.28139,0.75813,0.82143,0.82987,0.54273,1.08789,2.0819,1.66615,0.000920416,0.000920416,0.000920416
20,516.072,1.01015,1.22421,1.25166,0.85303,0.82143,0.87376,0.51687,1.1319,2.05227,1.72245,0.000958042,0.000958042,0.000958042
21,539.753,0.82157,1.08309,1.18578,0.95214,0.71069,0.87171,0.56013,1.02399,2.03433,1.52999,0.00099448,0.00099448,0.00099448
22,566.775,0.94313,1.189,1.20446,1,0.62947,0.79108,0.51472,1.09887,2.06305,1.6144,0.00102973,0.00102973,0.00102973
